paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;lat;lon;iso-3;century;date_start;date_end;author;bibl;add_inf;add_inf_2;date_mean;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227655;2.213766;FRA;1300;1201;1300;;Paris, Bibliothèque nationale de France, nouvelles acquisitions françaises, 1263, f. 2-12;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/nouvelles_acquisitions_francaises/1263.html#F2;;1250,5;;;;;;;;;;;;;;
A;Li romanz des VII sages de Roume;;;;;;;French;;46.227656;2.213767;FRA;1300;1275;1300;;Paris, Bibliothèque nationale de France, nouvelles acquisitions françaises, 13521, f. 282ra-311ra;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/nouvelles_acquisitions_francaises/13521.html#F282;;1287,5;;;;;;;;;;;;;;
A;Des seth sages de Rome;;;;;;;French;;46.227657;2.213768;FRA;1300;1275;1299;;Torino, Biblioteca Nazionale Universitaria, L. V. 32, f. 180;https://portail.biblissima.fr/fr/ark:/43093/mdataeee3088e58e8fe27b431ff30303e71188540a067;;1287;;;;;;;;;;;;;;
C;Le roman des Sept Sages de Rome, C;Le roman des Sept sages de Rome, K;;;;;;French;;46.227658;2.213769;FRA;1300;1201;1400;;Chartres, Bibliothèque municipale, 620;https://www.manuscrits-de-chartres.fr/sites/default/files/fileviewer/documents/cgm/CGM11-Chartres-Notices.pdf;;1300,5;;;;;;;;;;;;;;
K;Le roman des Sept sages de Rome;;;;;;;French;;46.227659;2.213770;FRA;1300;1285;1290;;Paris, Bibliothèque nationale de France, Français, 1553, f. 338vb-367va;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/1553.html#F338;;1287,5;;;;;;;;;;;;;;
L;Des VII sages de Romme;Marques de Rome;;;;;;French;;46.227660;2.213771;FRA;1300;1201;1300;;Paris, Bibliothèque nationale de France, Français, 1444;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc44994g;;1250,5;;;;;;;;;;;;;;
L;Li livres des VII sages de Rome;Marques de Rome;;;;;;French;;46.227661;2.213772;FRA;1300;1270;1290;;Paris, Bibliothèque nationale de France, français, 19166;https://portail.biblissima.fr/ark:/43093/mdata12befe863c39f2677fdb6bee293c878168302e03;;1280;;;;;;;;;;;;;;
L;Li roumans des VII sages de Romme;;;;;;;French;;46.227662;2.213773;FRA;1300;1201;1300;;Paris, Bibliothèque nationale de France, français, 22933, f. 119;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc52351q;;1250,5;;;;;;;;;;;;;;
L;Le roman des Sept Sages de Rome;;;;;;;French;;46.227663;2.213774;FRA;1300;1201;1300;;Paris, Bibliothèque nationale de France, français, 24431, f. 74;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc532407;;1250,5;;;;;;;;;;;;;;
L;Le roman des Sept Sages de Rome;;;;;;;French;Picard;46.227664;2.213775;FRA;1300;1251;1300;;Bern, Burgerbibliothek, 41;http://katalog.burgerbib.ch/archivplansuche.aspx;Runte, Li Ystoire de la male marastre xxiv;1275,5;;;;;;;;;;;;;;
A;Roman des Sept Sages de Rome;Laurin;Marques de Rome;;;;;French;;46.227665;2.213776;FRA;1300;1275;1300;;Cambridge, Fitzwilliam Museum, McClean, 179;https://data.fitzmuseum.cam.ac.uk/id/object/170729;;1287,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227666;2.213777;FRA;1300;1280;1320;;Lyon, Bibliothèque municipale, 867, f. 3 et 214;https://portail.biblissima.fr/ark:/43093/mdata9c3d29e943bf4fef7a898714aec047f17eaf04b2;;1300;;;;;;;;;;;;;;
A;Sept sages de Rome;Kanor;Pelyarmenus;;;;;French;;46.227667;2.213778;FRA;1300;1201;1400;;Paris, Bibliothèque nationale de France, français, 1446;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/1446.html;;1300,5;;;;;;;;;;;;;;
A;Sept sages de Rome;Kanor;Marques de Rome;Laurin;Cassidorus;Helcanus;Pelyarmenus;French;;46.227668;2.213779;FRA;1400;1320;1340;;Bruxelles, Bibliothèque royale de Belgique, Ms 9245;https://jonas.irht.cnrs.fr/manuscrit/10309;;1330;;;;;;;;;;;;;;
A;Li roumans de le male marastre et des siept sages;Laurin;Marques de Rome;;;;;French;;46.227669;2.213780;FRA;1400;1301;1350;;Bruxelles, Bibliothèque royale de Belgique, 9433-9434;https://www.arlima.net/mss/belgique/bruxelles/bibliotheque_royale/9433-9434.html#F28;;1325,5;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227670;2.213781;FRA;1400;1390;1400;;Bruxelles, Bibliothèque royale de Belgique, 11190, f. 1r-32v;https://portail.biblissima.fr/fr/ark:/43093/mdatadd53b3661b6840e745e0d658d00ee01b02e71e4c;;1395;;;;;;;;;;;;;;
A;Le livre qe est appelee le Set Sages en romaunce;;;;;;;French;;46.227671;2.213782;FRA;1400;1307;1350;;Cambridge, University Library, Gg.1.1, f. 440ra;https://cudl.lib.cam.ac.uk/view/MS-GG-00001-00001/1;;1328,5;;;;;;;;;;;;;;
A;L'estorie de 7 sages de Roume;;;;;;;French;;46.227672;2.213783;FRA;1400;1301;1325;;London, British Library, Harley, 3860;https://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002049696&indx=1&recIds=IAMS040-002049696&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%28BL%29&vid=IAMS_VU2&mode=Basic&srt=rank&tab=local&dum=true&vl(freeText0)=harley%203860&dstmp=1647626691214;;1313;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;46.227673;2.213784;FRA;1400;1300;1350;;Mons, Bibliothèque publique, 330/215;https://jonas.irht.cnrs.fr/manuscrit/35763;;1325;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;;;;;;;French;;46.227674;2.213785;FRA;1400;1350;1400;;Oxford, Saint John's College Library, 102;https://www.arlima.net/mss/united_kingdom/oxford/saint_johns_college_library/102.html;;1375;;;;;;;;;;;;;;
A;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;46.227675;2.213786;FRA;1400;1301;1400;;Paris, Bibliothèque nationale de France, nouvelles acquisitions françaises, 12791;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/nouvelles_acquisitions_francaises/12791.html#F1;;1350,5;;;;;;;;;;;;;;
L;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;46.227676;2.213787;FRA;1400;1345;1355;;Philadelphia, University of Pennsylvania, Kislak Center for Special Collections, Rare Books and Manuscripts, Lawrence J. Schoenberg Collection, 931;https://colenda.library.upenn.edu/catalog/81431-p31v5bf56;;1350;;;;;;;;;;;;;;
M;Le roman des Sept Sages de Rome;;;;;;;French;Picard;46.227677;2.213788;FRA;1400;1300;1325;;Firenze, Biblioteca Medicea Laurenziana, Ashburnham 52 (cat. Ashburnham-Libri 125);https://www.arlima.net/qt/sept_sages_de_rome_en_francais.html;Runte, Li Ystoire de la male marastre xxix-xxxii;1312,5;;;;;;;;;;;;;;
A;Le romans de VII sages;Laurin;Marques de Rome;;;;;French;;46.227678;2.213789;FRA;1400;1301;1400;;Firenze, Biblioteca Medicea Laurenziana, Ashburnham, 122;https://www.arlima.net/mss/italia/firenze/biblioteca_medicea_laurenziana/ashburnham/122.html;;1350,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;;;;;;;French;;46.227679;2.213790;FRA;1400;1300;1325;;Oxford, Corpus Christi College Library, 252, XIV;https://parker.stanford.edu/parker/catalog/jc891dg8213;;1312,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;Laurin;;;;;;French;;46.227680;2.213791;FRA;1400;1301;1400;;Paris, Bibliothèque nationale de France, Arsenal, 3355;https://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=42983;;1350,5;;;;;;;;;;;;;;
Based on A;Marques de Rome;Cassidorus;Laurin;Helcanus;;;;French;;46.227681;2.213792;FRA;1400;1345;1355;;Paris, Bibliothèque nationale de France, français, 17000;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/17000.html;;1350;;;;;;;;;;;;;;
Based on A;Marques de Rome;Laurin;Kanor;;;;;French;;46.227682;2.213793;FRA;1400;1300;1399;;Reims, Musée des beaux-arts, cadre 882;https://portail.biblissima.fr/ark:/43093/mdata404545d112b041cda56df970effffe2fde34a252;;1349,5;;;;;;;;;;;;;;
