paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;lat;lon;iso-3;century;date_start;date_end;author;bibl;add_inf;add_inf_2;date_mean;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067341;-14.096271;;1500;1419;1440;;Hannover, Niedersächsische Landesbibliothek, Ms. XIII 859;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0056_a203_JPG.htm;;1429,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067342;-14.096272;;1500;1401;1500;;München, Bayerische Staatsbibliothek, clm 3040;https://www.digitale-sammlungen.de/en/details/bsb00008252;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067343;-14.096273;;1500;1448;;;München, Bayerische Staatsbibliothek, clm 3861;https://www.digitale-sammlungen.de/en/details/bsb00008252;;1448;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067344;-14.096274;;1500;1457;;;München, Bayerische Staatsbibliothek, clm 4691;https://www.digitale-sammlungen.de/en/details/bsb00008252;;1457;;;;;;;;;;;;;;
H;Gesta Romanorum cum Historia VII sapientium;;;;;;;Latin;;47.067345;-14.096275;;1500;1401;1500;;München, Bayerische Staatsbibliothek, clm 18786;https://www.digitale-sammlungen.de/en/details/bsb00008254;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067346;-14.096276;;1500;1446;;;München, Bayerische Staatsbibliothek, clm 21049;https://www.digitale-sammlungen.de/en/details/bsb00008255;;1446;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067347;-14.096277;;1500;1401;1500;;Paris, Bibliothèque nationale de France, Latin 8506;https://gallica.bnf.fr/ark:/12148/btv1b9072602r;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067348;-14.096278;;1500;1418;;;Praha, Krivoklar, Cod. I.a.37;https://www.arlima.net/qt/septem_sapientum_historia_h.html;;1418;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067349;-14.096279;;1600;1501;1700;Jean Gobi Le Jeune, Johannes Gobius;Paris, Bibliothèque nationale de France, Arsenal, 2890, f. 198;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc83620t;;1600,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067350;-14.096280;;1600;1501;1600;;Wien, Österreichische Nationalbibliothek, 10454;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0751f_b0192_jpg.htm;;1550,5;;;;;;;;;;;;;;
S;Scala coeli;;;;;;;Latin;;47.067351;-14.096281;;#DIV/0!;;;Jean Gobi Le Jeune, Johannes Gobius;Wien, Österreichische Nationalbibliothek, Cod. 13538;http://data.onb.ac.at/rec/AC13970119;;#DIV/0!;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067352;-14.096282;;#DIV/0!;;;Jean Gobi Le Jeune, Johannes Gobius;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, Diez. C. Fol 2, Nr. 6;http://www.manuscripta-mediaevalia.de/dokumente/html/hsk0480;;#DIV/0!;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067353;-14.096283;;#DIV/0!;;;Jean Gobi Le Jeune, Johannes Gobius;Bruxelles, Bibliothèque royale de Belgique, 4361;https://opac.kbr.be/LIBRARY/doc/SYRACUSE/10713788;;#DIV/0!;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067354;-14.096284;;#DIV/0!;;;Jean Gobi Le Jeune, Johannes Gobius;Bruxelles, Bibliothèque royale de Belgique, 8769;https://www.arlima.net/il/jean_gobi_le_jeune.html;;#DIV/0!;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067355;-14.096285;;#DIV/0!;;;;Dublin, Trinity College Library, F. 5. 3, p. 42-54;https://www.arlima.net/qt/septem_sapientum_historia.html;;#DIV/0!;;;;;;;;;;;;;;
;Allegatio septem sapientum;;;;;;;High German;;51.165691;10.451526;DEU;1400;1301;1400;;Chantilly, Bibliothèque et Archives du Château, 683 (1427), f. 13;http://initiale.irht.cnrs.fr/codex/10540;;1350,5;;;;;;;;;;;;;;
Translation of the Dolopathos;Dolopathos;;;;;;;High German;;51.165692;10.451527;DEU;1500;1465;;;Leipzig, Universitätsbibliothek, 1279, f. 236r-294r;http://www.manuscripta-mediaevalia.de/#|6;;1465;;;;;;;;;;;;;;
;Allegatio septem sapientum;;;;;;;High German;;51.165693;10.451528;DEU;1500;1462;;;München, Bayerische Staatsbibliothek, clm 22378;https://www.digitale-sammlungen.de/en/view/bsb00008255?q=%28Catalogus+codicum+latinorum+Bibliothecae+Regiae+Monacensis%29&page=52,53;;1462;;;;;;;;;;;;;;
;Allegatio septem sapientum;;;;;;;High German;;51.165694;10.451529;DEU;1500;1453;;;Sankt Florian, Stiftsbibliothek, XI 92 B, f. 196-208;https://handschriftencensus.de/5660;;1453;;;;;;;;;;;;;;
;Gesta Romanorum cum moralisationibus;;;;;;;High German;;51.165695;10.451530;DEU;1500;1401;1450;;Wien, Österreichische Nationalbibliothek, 2937, f. 73-88;https://handschriftencensus.de/6550;;1425,5;;;;;;;;;;;;;;
;Die Hystorij von Diocleciano;;;;;;;High German;;51.165696;10.451531;DEU;1500;1475;1500;;Wien, Schottenstiftsbibliothek, 33/407, f. 1-39;;;1487,5;;;;;;;;;;;;;;
;Von den sieben meistern;;;;;;;High German;;51.165697;10.451532;DEU;1500;1452;;;Donaueschingen, Fürstlich Fürstenbergische Hofbibliothek, 90, f. 148-202;https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/1172492;;1452;;;;;;;;;;;;;;
;Von den sieben meistern;;;;;;;High German;;51.165698;10.451533;DEU;1500;1476;;;Erlangen/Nürnberg, Universitätsbibliothek, B 11, f. 22-154;https://handschriftencensus.de/2231;;1476;;;;;;;;;;;;;;
;Von den sieben meistern;;;;;;;High German;;51.165699;10.451534;DEU;1500;1471;;;Frankfurt am Main, Universitätsbibliothek, Germ. Qu. 12, f. 1-125;https://sammlungen.ub.uni-frankfurt.de/msma/content/titleinfo/3654381;;1471;;;;;;;;;;;;;;
;Von den sieben meistern;;;;;;;High German;;51.165700;10.451535;DEU;1500;1479;;;Frankfurt am Main, Universitätsbibliothek, Germ. Qu. 13;https://sammlungen.ub.uni-frankfurt.de/msma/urn/urn:nbn:de:hebis:30:2-14571;;1479;;;;;;;;;;;;;;
;Von den sieben meistern;;;;;;;High German;;51.165701;10.451536;DEU;1500;1454;;;Hamburg, Staats- und Universitätsbibliothek, Cod. germ. 1, f. 109-211;https://handschriftencensus.de/4859;;1454;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165702;10.451537;DEU;1500;1470;1475;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, mgf 1001;https://handschriftencensus.de/12135;;1472,5;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165703;10.451538;DEU;1500;1470;;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, mgq 763, f. 1-96;https://handschriftencensus.de/4504;;1470;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165704;10.451539;DEU;1500;1450;1500;;Giessen, Universitätsbibliothek, 104, f. 12-57;https://mrfh.de/10300;;1475;;;;;;;;;;;;;;
;Historia septem sapientum;;;;;;;High German;;51.165705;10.451540;DEU;1500;1446;;;Heidelberg, Universitätsbibliothek, Codices Palatini germanici, 106, f. 1-68;https://katalog.ub.uni-heidelberg.de/cgi-bin/titel.cgi?katkey=66530235&sess=25b816c430f992242f2a86b198ab7416&art=f&kat1=freitext&kat2=ti&kat3=au&op1=AND&op2=AND&var1=Cod.%20Pal.%20germ.%20106&var2=&var3=;;1446;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165706;10.451541;DEU;1500;1440;1460;;Heidelberg, Universitätsbibliothek, Codices Palatini germanici, 149, f. 1-108;https://digi.ub.uni-heidelberg.de/diglit/cpg149/0023/text_heidicon;;1450;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165707;10.451542;DEU;1500;1475;1480;;Karlsruhe, Badische Landesbibliothek, Cod. St. Georgen 70, f. 107-126;https://www.blb-karlsruhe.de/aktuelles/projekte/laufende-projekte/handschriften-st-georgen/;;1477,5;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165708;10.451543;DEU;1500;1492;;;Leipzig, Universitätsbibliothek, Rep.II.159, f. 25-129;https://www.handschriftencensus.de/7977;;1492;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165709;10.451544;DEU;1500;1479;;Jörg Stuler;Stuttgart, Württembergische Landesbibliothek, HB XIII 10;https://mrfh.de/11000;;1479;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165710;10.451545;DEU;1500;1470;;;Stuttgart, Württembergische Landesbibliothek, HB X 22, f. 28-111;https://handschriftencensus.de/5908;;1470;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165711;10.451546;DEU;1500;1440;1460;;Wolfenbüttel, Herzog August Bibliothek, Cod. 44.15. Aug. fol., f. 195-242;https://handschriftencensus.de/6680;;1450;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165712;10.451547;DEU;1500;1470;1475;;Zürich, Zentralbibliothek, B 325, f. 12-49;https://handschriftencensus.de/4008;;1472,5;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165713;10.451548;DEU;1500;1474;1478;;Zürich, Zentralbibliothek, Car C 28;https://kdih.badw.de/datenbank/handschrift/24/0/6;;1476;;;;;;;;;;;;;;
;Aventewr Von Dioleciano;;;;;;;High German;;51.165714;10.451549;DEU;1600;1501;1600;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, Ms. or. quart. 942;https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN860407284&PHYSID=PHYS_0013&view=overview-info;;1550,5;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165715;10.451550;DEU;1600;1563;;;Oldenburg, Landesbibliothek, Cim I 204a, f. 75-141;https://handschriftencensus.de/22303;;1563;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165716;10.451551;DEU;#DIV/0!;;;;Brno, Státní vedecká/Universitní knihovna Rkp 84, pp. 334-517;;;#DIV/0!;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165717;10.451552;DEU;#DIV/0!;;;;Colmar, Bibliothèque municipale, 55, f. 123-223;;;#DIV/0!;;;;;;;;;;;;;;
;Die sieben weisen Meister;;;;;;;High German;;51.165718;10.451553;DEU;#DIV/0!;;;;Fulda, Hochschul- und Landesbibliothek, Cod. 4o B 11;;;#DIV/0!;;;;;;;;;;;;;;
Translation of L;Los set savis de Roma;;;;;;;Occitan;;43.9298;2.148;FRA;1400;1301;1326;;Avignon, Archives départementales de Vaucluse, Archives communales de Châteauneuf-du-Pape, GG 2, 2 f.;;;1313,5;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378051;-3.435973;GBR;1400;1350;1400;;Cambridge, University Library, Dd.1.17;https://www.medievalscribes.com/index.php?navtype=authors&navauthor=Langland&browse=manuscripts&id=363&nav=off;;1375;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378052;-3.435974;GBR;1400;1331;1340;;Edinburgh, National Library of Scotland, Advocates, 19.2.1, f. 84rb-99vb;https://auchinleck.nls.uk/editorial/physical.html#date;;1335,5;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378053;-3.435975;GBR;1400;1350;1400;;Oxford, Bodleian Library, Rawlinson, Poet. 175;https://medieval.bodleian.ox.ac.uk/catalog/manuscript_8759;;1375;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378054;-3.435976;GBR;1500;1440;1450;;Cambridge, University Library, Ff.2.38, f. 126ra;https://www.arlima.net/mss/united_kingdom/cambridge/university_library/Ff_2_38.html;;1445;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378055;-3.435977;GBR;1500;1401;1500;;London, British Library, Arundel MS 140;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002039423;;1450,5;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378056;-3.435978;GBR;1500;1401;1425;;London, British Library, Cotton, Galba E. IX, f. 25va-48vb;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS041-001607569;;1413;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378057;-3.435979;GBR;1500;1401;1500;;London, British Library, Egerton, 1995;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS032-001982919;;1450,5;;;;;;;;;;;;;;
I;The procys of the sevyn sages;;;;;;;English;;55.378058;-3.435980;GBR;1600;1501;1533;Richard Hill;Oxford, Balliol College Library, 354;https://iiif.bodleian.ox.ac.uk/iiif/viewer/e0d10554-db39-4b58-a944-45da5e66248e/#?c=0&m=0&s=0&cv=12&r=0&xywh=-5817%2C-418%2C14484%2C8355;;1517;;;;;;;;;;;;;;
H;Libro dei sette savi di Roma;;;;;;;Italian;;41.87194;12.56738;ITA;1400;1301;1350;;London, British Library, Additional, 27429;https://www.arlima.net/mss/united_kingdom/london/british_library/additional/27429.html;;1325,5;;;;;;;;;;;;;;
;Libro dei sette savi di Roma;;;;;;;Italian;;41.87195;12.56739;ITA;1500;1401;1500;;Firenze, Biblioteca Medicea Laurenziana, Gaddi, 166;https://www.arlima.net/qt/sette_savi_di_roma_libro_dei.html;;1450,5;;;;;;;;;;;;;;
Translation of A;Libro dei sette savi di Roma;;;;;;;Italian;;41.87196;12.56740;ITA;1500;1401;1500;;Firenze, Biblioteca nazionale centrale, Palatino, 680;https://archive.org/details/icodicipalatinid02bibl/page/238/mode/2up?view=theater;;1450,5;;;;;;;;;;;;;;
D;Il libro dei Sette Savi di Roma;;;;;;;Italian;;41.87197;12.56741;ITA;1500;1301;1517;;Modena, Biblioteca Estense Universitaria, 95;https://www.mirabileweb.it/manuscript/modena-biblioteca-estense-universitaria-lat-95-(al-manuscript/219447;;1409;;;;;;;;;;;;;;
;The Buke of the Sevyne Sagis;;;;;;;Scots;;55.86515;-4.25763;GBR;1600;1500;1525;;Edinburgh, National Library of Scotland, 16500;https://arlima.net/no/7858;;1512,5;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;;;;;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Bruxelles, Bibliothèque royale de Belgique, 1521;https://opac.kbr.be/Library/doc/SYRACUSE/10121230/tome-ii-patrologie;;1450,5;;;;;;;;;;;;;;
S;;;;;;;;;;;;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;London, British Library, Harley, 2379, f. 73;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002048210;;1450,5;;;;;;;;;;;;;;
;Chwedlau Saith Doethion Rhufain;;;;;;;Welsh;;53.3406100;-1.2816200;;;1401;1450;;Oxford, Jesus College MS 20 ;;"
Evans, J. Gwenogvryn 31-34";;;;;;;;;;;;;;;
;Seith Doethon Ruvein;;;;;;;Welsh;;53.3406101;-1.2816201;;;1301;1400;;Oxford, Jesus College MS 3;;Runte 31;;;;;;;;;;;;;;;
;Red Book of Hergest;;;;;;;Welsh;;53.3406102;-1.2816202;;;1382;1390;;Oxford, Jesus College MS 111;;Huws 82;;;;;;;;;;;;;;;
