paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;iso-3;date_start;date_end;author;bibl;add_inf;add_inf_2
L;Li livres des VII sages de Rome;Marques de Rome;;;;;;French;;FRA;1270;1290;;Paris, Bibliothèque nationale de France, français, 19166;https://portail.biblissima.fr/ark:/43093/mdata12befe863c39f2677fdb6bee293c878168302e03;
L;Li roumans des VII sages de Romme;;;;;;;French;;FRA;1201;1300;;Paris, Bibliothèque nationale de France, français, 22933, f. 119;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc52351q;
L;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1201;1300;;Paris, Bibliothèque nationale de France, français, 24431, f. 74;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc532407;
L;Le roman des Sept Sages de Rome;;;;;;;French;Picard;FRA;1251;1300;;Bern, Burgerbibliothek, 41;http://katalog.burgerbib.ch/archivplansuche.aspx;Runte, Li Ystoire de la male marastre xxiv
A;Roman des Sept Sages de Rome;Laurin;Marques de Rome;;;;;French;;FRA;1275;1300;;Cambridge, Fitzwilliam Museum, McClean, 179;https://data.fitzmuseum.cam.ac.uk/id/object/170729;
Based on A;Marques de Rome;;;;;;;French;;FRA;1280;1320;;Lyon, Bibliothèque municipale, 867, f. 3 et 214;https://portail.biblissima.fr/ark:/43093/mdata9c3d29e943bf4fef7a898714aec047f17eaf04b2;
A;Sept sages de Rome;Kanor;Pelyarmenus;;;;;French;;FRA;1201;1400;;Paris, Bibliothèque nationale de France, français, 1446;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/1446.html;
A;Sept sages de Rome;Kanor;Marques de Rome;Laurin;Cassidorus;Helcanus;Pelyarmenus;French;;FRA;1320;1340;;Bruxelles, Bibliothèque royale de Belgique, Ms 9245;https://jonas.irht.cnrs.fr/manuscrit/10309;
A;Li roumans de le male marastre et des siept sages;Laurin;Marques de Rome;;;;;French;;FRA;1301;1350;;Bruxelles, Bibliothèque royale de Belgique, 9433-9434;https://www.arlima.net/mss/belgique/bruxelles/bibliotheque_royale/9433-9434.html#F28;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1390;1400;;Bruxelles, Bibliothèque royale de Belgique, 11190, f. 1r-32v;https://portail.biblissima.fr/fr/ark:/43093/mdatadd53b3661b6840e745e0d658d00ee01b02e71e4c;
A;Le livre qe est appelee le Set Sages en romaunce;;;;;;;French;;FRA;1307;1350;;Cambridge, University Library, Gg.1.1, f. 440ra;https://cudl.lib.cam.ac.uk/view/MS-GG-00001-00001/1;
A;L'estorie de 7 sages de Roume;;;;;;;French;;FRA;1301;1325;;London, British Library, Harley, 3860;https://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=IAMS040-002049696&indx=1&recIds=IAMS040-002049696&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%28BL%29&vid=IAMS_VU2&mode=Basic&srt=rank&tab=local&dum=true&vl(freeText0)=harley%203860&dstmp=1647626691214;
A;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;FRA;1300;1350;;Mons, Bibliothèque publique, 330/215;https://jonas.irht.cnrs.fr/manuscrit/35763;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1350;1400;;Oxford, Saint John's College Library, 102;https://www.arlima.net/mss/united_kingdom/oxford/saint_johns_college_library/102.html;
A;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;FRA;1301;1400;;Paris, Bibliothèque nationale de France, nouvelles acquisitions françaises, 12791;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/nouvelles_acquisitions_francaises/12791.html#F1;
L;Le roman des Sept Sages de Rome;Marques de Rome;;;;;;French;;FRA;1345;1355;;Philadelphia, University of Pennsylvania, Kislak Center for Special Collections, Rare Books and Manuscripts, Lawrence J. Schoenberg Collection, 931;https://colenda.library.upenn.edu/catalog/81431-p31v5bf56;
M;Le roman des Sept Sages de Rome;;;;;;;French;Picard;FRA;1300;1325;;Firenze, Biblioteca Medicea Laurenziana, Ashburnham 52 (cat. Ashburnham-Libri 125);https://www.arlima.net/qt/sept_sages_de_rome_en_francais.html;Runte, Li Ystoire de la male marastre xxix-xxxii
A;Le romans de VII sages;Laurin;Marques de Rome;;;;;French;;FRA;1301;1400;;Firenze, Biblioteca Medicea Laurenziana, Ashburnham, 122;https://www.arlima.net/mss/italia/firenze/biblioteca_medicea_laurenziana/ashburnham/122.html;
Based on A;Marques de Rome;;;;;;;French;;FRA;1300;1325;;Oxford, Corpus Christi College Library, 252, XIV;https://parker.stanford.edu/parker/catalog/jc891dg8213;
Based on A;Marques de Rome;Laurin;;;;;;French;;FRA;1301;1400;;Paris, Bibliothèque nationale de France, Arsenal, 3355;https://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=42983;
Based on A;Marques de Rome;Cassidorus;Laurin;Helcanus;;;;French;;FRA;1345;1355;;Paris, Bibliothèque nationale de France, français, 17000;https://www.arlima.net/mss/france/paris/bibliotheque_nationale_de_france/francais/17000.html;
Based on A;Marques de Rome;Laurin;Kanor;;;;;French;;FRA;1300;1399;;Reims, Musée des beaux-arts, cadre 882;https://portail.biblissima.fr/ark:/43093/mdata404545d112b041cda56df970effffe2fde34a252;
Based on A;Cassidorus;Helcanus;;;;;;French;;FRA;1301;1325;;Bruxelles, Bibliothèque royale de Belgique, 9401;https://opac.kbr.be/LIBRARY/doc/SYRACUSE/16453546;
Based on A;Helcanus;Pelyarmenus;Kanor;;;;;French;;FRA;1325;1350;;London, British Library, Harley, 4903;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002050747;
Based on A;Pelyarmenus;Cassidorus;Helcanus;;;;;French;;FRA;1301;1400;;Torino, Biblioteca nazionale universitaria, L. III. 8;https://jonas.irht.cnrs.fr/manuscrit/78912;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1440;1460;;Fribourg, Bibliothèque cantonale et universitaire, L. 13, f. 153r;https://www.fr.ch/bcu/manuscrits-conserves-a-la-bibliotheque-cantonale-et-universitaire;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Arsenal, 3354;https://jonas.irht.cnrs.fr/consulter/manuscrit/detail_manuscrit.php?projet=42982;
A;Le roman des Sept Sages de Rome;Marques de Rome;Laurin;Cassidorus;Helcanus;Pelyarmenus;Kanor;French;;FRA;1466;;;Paris, Bibliothèque nationale de France, français, 93;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc511879;
A;Le roman des Sept Sages de Rome;;;;;;;French;;FRA;1401;1500;;Paris, Bibliothèque nationale de France, Français, 5586, f. 89;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc58537x;
